index,LIGHTING_CONDITION,ROADWAY_SURFACE_COND,WEATHER_CONDITION,TRAVEL_DIRECTION,INTERSECTION_RELATED,TRAFFIC_CONTROL_DEVICE,FIRST_CONTACT_POINT,MANEUVER,HIT_AND_RUN,VEHICLE_TYPE,UNIT_TYPE,FATAL_COND,DAMAGE_COST,BAC_RESULT,SEX,FATAL_DEGREE,ZIPCODE,AGE,VEHICLE_YEAR,POSTED_SPEED_LIMIT,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR
53,2,1,1,3,1,1,1,-1,1,-1,1,4,2,0,0,1,60647,23.0,2010.0,30,2,20,4,4,2020
54,2,1,1,2,1,1,3,2,1,1,1,4,2,0,0,1,60647,23.0,2004.0,30,2,20,4,4,2020
55,2,1,1,3,1,1,1,-1,1,-1,1,4,2,0,0,1,60647,36.0,2010.0,30,2,20,4,4,2020
56,2,1,1,2,1,1,3,2,1,1,1,4,2,0,0,1,60647,36.0,2004.0,30,2,20,4,4,2020
176,1,1,1,2,1,2,7,1,1,1,1,3,1,0,0,0,60617,47.0,2009.0,25,2,17,5,4,2020
347,1,1,1,1,1,1,1,1,0,1,1,3,2,0,1,0,60193,50.0,2020.0,35,3,13,6,4,2020
348,1,1,1,1,1,1,2,1,0,1,1,3,2,0,1,0,60193,50.0,2015.0,35,3,13,6,4,2020
349,1,1,1,1,1,1,2,1,0,1,1,3,2,0,1,0,60193,50.0,1999.0,35,3,13,6,4,2020
350,1,1,1,1,1,1,1,1,0,1,1,3,2,0,1,0,60153,50.0,2020.0,35,3,13,6,4,2020
351,1,1,1,1,1,1,2,1,0,1,1,3,2,0,1,0,60153,50.0,2015.0,35,3,13,6,4,2020
352,1,1,1,1,1,1,2,1,0,1,1,3,2,0,1,0,60153,50.0,1999.0,35,3,13,6,4,2020
424,3,-1,1,4,1,2,1,-1,1,-1,1,4,1,-1,0,2,60622,36.9,2011.0,30,2,2,7,4,2020
426,3,-1,1,4,1,2,1,-1,1,-1,1,0,1,0,1,2,60622,38.0,2011.0,30,2,2,7,4,2020
442,1,1,1,4,1,1,10,2,1,1,1,4,3,0,0,2,60622,36.9,2019.0,30,2,15,6,4,2020
443,1,1,1,6,1,1,-1,1,1,-1,1,4,3,0,0,2,60609,29.0,2011.0,30,2,15,6,4,2020
444,1,1,1,4,1,1,10,2,1,1,1,4,3,0,0,2,60609,29.0,2019.0,30,2,15,6,4,2020
479,1,1,1,1,1,1,-1,1,1,1,1,4,2,0,1,2,60649,22.0,2011.0,30,2,7,4,4,2020
481,1,1,1,1,1,1,-1,1,1,1,1,0,2,0,1,2,60617,53.0,2011.0,30,2,7,4,4,2020
752,1,1,1,3,1,1,5,1,1,1,1,4,3,0,0,0,60630,25.0,2019.0,30,2,8,1,4,2020
860,1,1,1,2,1,2,8,1,1,1,1,4,3,0,1,0,60620,19.0,2005.0,30,2,22,1,4,2020
1083,3,2,1,1,1,2,6,1,1,1,1,4,3,0,1,1,60482,29.0,2006.0,30,3,3,3,4,2020
1084,3,2,1,4,1,2,2,5,1,1,2,4,3,0,1,1,60482,29.0,2012.0,30,3,3,3,4,2020
1085,3,2,1,4,1,2,4,1,1,1,1,4,3,0,1,1,60482,29.0,2001.0,30,3,3,3,4,2020
1089,3,2,1,1,1,2,6,1,1,1,1,4,3,0,1,1,60618,36.0,2006.0,30,3,3,3,4,2020
1090,3,2,1,4,1,2,2,5,1,1,2,4,3,0,1,1,60618,36.0,2012.0,30,3,3,3,4,2020
1091,3,2,1,4,1,2,4,1,1,1,1,4,3,0,1,1,60618,36.0,2001.0,30,3,3,3,4,2020
1105,1,2,1,4,1,1,4,4,1,2,1,4,1,0,0,2,60618,36.9,2011.0,35,2,8,3,4,2020
1107,1,2,1,4,1,1,4,4,1,2,1,0,1,0,0,2,60068,21.0,2011.0,35,2,8,3,4,2020
1128,1,1,1,3,1,1,11,1,1,1,1,3,2,0,0,0,60617,49.0,2019.0,30,2,17,2,4,2020
1348,1,1,1,3,1,1,1,1,1,1,1,4,3,0,1,1,60638,36.0,2016.0,30,3,12,2,4,2020
1349,1,1,1,3,1,1,2,3,1,1,1,4,3,0,1,1,60638,36.0,1994.0,30,3,12,2,4,2020
1350,1,1,1,3,1,1,2,3,1,1,1,4,3,0,1,1,60638,36.0,2002.0,30,3,12,2,4,2020
1351,1,1,1,3,1,1,1,1,1,1,1,4,3,0,1,1,60638,33.0,2016.0,30,3,12,2,4,2020
1352,1,1,1,3,1,1,2,3,1,1,1,4,3,0,1,1,60638,33.0,1994.0,30,3,12,2,4,2020
1353,1,1,1,3,1,1,2,3,1,1,1,4,3,0,1,1,60638,33.0,2002.0,30,3,12,2,4,2020
1354,1,1,1,3,1,1,1,1,1,1,1,4,3,0,1,1,60638,60.0,2016.0,30,3,12,2,4,2020
1355,1,1,1,3,1,1,2,3,1,1,1,4,3,0,1,1,60638,60.0,1994.0,30,3,12,2,4,2020
1356,1,1,1,3,1,1,2,3,1,1,1,4,3,0,1,1,60638,60.0,2002.0,30,3,12,2,4,2020
1396,5,1,1,3,1,1,2,10,0,2,1,3,2,0,0,0,60637,46.0,2014.0,30,2,20,3,4,2020
1397,5,1,1,2,1,1,5,5,0,2,2,3,2,0,0,0,60637,46.0,2014.0,30,2,20,3,4,2020
1469,1,1,1,4,1,1,6,6,0,2,1,4,3,0,1,2,60618,31.0,2018.0,30,2,7,5,4,2020
1470,1,1,1,8,1,1,5,2,0,8,1,4,3,0,1,2,60618,31.0,2015.0,30,2,7,5,4,2020
1471,1,1,1,4,1,1,6,6,0,2,1,4,3,0,1,2,31907,56.0,2018.0,30,2,7,5,4,2020
1472,1,1,1,8,1,1,5,2,0,8,1,4,3,0,1,2,31907,56.0,2015.0,30,2,7,5,4,2020
1521,1,1,1,3,1,1,3,1,0,1,1,4,1,0,1,2,60618,26.0,2011.0,30,2,14,5,4,2020
1523,1,1,1,3,1,1,3,1,0,1,1,0,1,2,0,2,60618,53.0,2011.0,30,2,14,5,4,2020
1536,1,1,1,1,1,1,1,1,1,1,1,4,3,0,1,3,60618,38.0,2012.0,30,4,17,5,4,2020
1537,1,1,1,4,1,1,4,1,1,2,1,4,3,0,1,3,60618,38.0,2016.0,30,4,17,5,4,2020
1538,1,1,1,4,1,1,3,1,1,1,1,4,3,0,1,3,60618,38.0,2018.0,30,4,17,5,4,2020
1539,1,1,1,3,1,1,5,3,1,5,1,4,3,0,1,3,60618,38.0,2006.0,30,4,17,5,4,2020
1540,1,1,1,1,1,1,1,1,1,1,1,4,3,0,0,3,60628,52.0,2012.0,30,4,17,5,4,2020
1541,1,1,1,4,1,1,4,1,1,2,1,4,3,0,0,3,60628,52.0,2016.0,30,4,17,5,4,2020
1542,1,1,1,4,1,1,3,1,1,1,1,4,3,0,0,3,60628,52.0,2018.0,30,4,17,5,4,2020
1543,1,1,1,3,1,1,5,3,1,5,1,4,3,0,0,3,60628,52.0,2006.0,30,4,17,5,4,2020
1544,1,1,1,1,1,1,1,1,1,1,1,4,3,0,0,3,60643,31.0,2012.0,30,4,17,5,4,2020
1545,1,1,1,4,1,1,4,1,1,2,1,4,3,0,0,3,60643,31.0,2016.0,30,4,17,5,4,2020
1546,1,1,1,4,1,1,3,1,1,1,1,4,3,0,0,3,60643,31.0,2018.0,30,4,17,5,4,2020
1547,1,1,1,3,1,1,5,3,1,5,1,4,3,0,0,3,60643,31.0,2006.0,30,4,17,5,4,2020
1548,1,1,1,1,1,1,1,1,1,1,1,4,3,-1,0,3,60429,44.0,2012.0,30,4,17,5,4,2020
1549,1,1,1,4,1,1,4,1,1,2,1,4,3,-1,0,3,60429,44.0,2016.0,30,4,17,5,4,2020
1550,1,1,1,4,1,1,3,1,1,1,1,4,3,-1,0,3,60429,44.0,2018.0,30,4,17,5,4,2020
1551,1,1,1,3,1,1,5,3,1,5,1,4,3,-1,0,3,60429,44.0,2006.0,30,4,17,5,4,2020
1857,2,1,1,1,1,1,3,1,1,1,1,4,3,0,0,2,60609,36.9,2011.0,30,2,0,7,4,2020
1858,2,1,1,2,1,1,1,1,1,1,1,4,3,0,0,2,60609,36.9,2018.0,30,2,0,7,4,2020
1859,2,1,1,1,1,1,3,1,1,1,1,4,3,0,1,2,60639,42.0,2011.0,30,2,0,7,4,2020
1860,2,1,1,2,1,1,1,1,1,1,1,4,3,0,1,2,60639,42.0,2018.0,30,2,0,7,4,2020
2835,2,1,1,4,1,1,5,2,1,1,1,0,1,0,0,2,60609,53.0,2011.0,30,2,21,3,4,2020
3301,2,1,1,3,1,1,3,1,1,1,1,4,3,0,0,2,60640,36.9,2004.0,30,2,1,5,4,2020
3302,2,1,1,4,1,1,1,8,1,-1,1,4,3,0,0,2,60640,36.9,2004.0,30,2,1,5,4,2020
3303,2,1,1,3,1,1,3,1,1,1,1,4,3,0,0,2,60640,36.9,2004.0,30,2,1,5,4,2020
3304,2,1,1,4,1,1,1,8,1,-1,1,4,3,0,1,2,60465,28.0,2011.0,30,2,1,5,4,2020
3305,2,1,1,3,1,1,3,1,1,1,1,4,3,0,1,2,60465,28.0,2004.0,30,2,1,5,4,2020
3306,2,1,1,4,1,1,1,8,1,-1,1,4,3,0,1,2,60465,28.0,2004.0,30,2,1,5,4,2020
3307,2,1,1,3,1,1,3,1,1,1,1,4,3,0,1,2,60465,28.0,2004.0,30,2,1,5,4,2020
3309,2,1,1,3,1,1,3,1,1,1,1,4,3,0,0,2,60640,36.9,2004.0,30,2,1,5,4,2020
3310,2,1,1,4,1,1,1,8,1,-1,1,4,3,0,0,2,60640,36.9,2004.0,30,2,1,5,4,2020
3311,2,1,1,3,1,1,3,1,1,1,1,4,3,0,0,2,60640,36.9,2004.0,30,2,1,5,4,2020
3312,2,1,1,4,1,1,1,8,1,-1,1,4,3,0,1,2,60465,28.0,2011.0,30,2,1,5,4,2020
3313,2,1,1,3,1,1,3,1,1,1,1,4,3,0,1,2,60465,28.0,2004.0,30,2,1,5,4,2020
3314,2,1,1,4,1,1,1,8,1,-1,1,4,3,0,1,2,60465,28.0,2004.0,30,2,1,5,4,2020
3315,2,1,1,3,1,1,3,1,1,1,1,4,3,0,1,2,60465,28.0,2004.0,30,2,1,5,4,2020
3473,2,1,1,-1,1,2,-1,-1,1,2,1,4,1,0,1,3,60617,27.0,2010.0,30,2,3,4,4,2020
3475,2,1,1,-1,1,2,-1,-1,1,2,1,0,1,0,0,3,60617,24.0,2010.0,30,2,3,4,4,2020
3764,1,1,1,3,1,2,-1,-1,1,1,1,4,3,0,0,1,0,36.0,2010.0,30,2,17,4,4,2020
3765,1,1,1,2,1,2,1,1,1,1,1,4,3,0,0,1,0,36.0,2016.0,30,2,17,4,4,2020
3766,1,1,1,3,1,2,-1,-1,1,1,1,4,3,0,1,1,90038,51.0,2010.0,30,2,17,4,4,2020
