index,ZIPCODE,AGE,EJECTION,DRIVER_ACTION,BAC_RESULT,UNIT_TYPE,VEHICLE_YEAR,VEHICLE_TYPE,TRAVEL_DIRECTION,MANEUVER,FIRST_CONTACT_POINT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,STREET_DIRECTION,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR,FATAL_DEGREE,SEX,INTERSECTION_RELATED,HIT_AND_RUN,REPORTYPE,DAMAGE_COST,FATAL_COND
53,60647,23.0,0.0,0.0,0.0,1,2010.0,-1,3,-1,1.0,30,1,1,1,2,2,7,1,1,0,3,2,20,4,4,2020,1.0,0,1,1,1,2,4
54,60647,23.0,0.0,0.0,0.0,1,2004.0,1,2,2,3.0,30,1,1,1,2,2,7,1,1,0,3,2,20,4,4,2020,1.0,0,1,1,1,2,4
55,60647,36.0,-1.0,3.0,0.0,1,2010.0,-1,3,-1,1.0,30,1,1,1,2,2,7,1,1,0,3,2,20,4,4,2020,1.0,0,1,1,1,2,4
56,60647,36.0,-1.0,3.0,0.0,1,2004.0,1,2,2,3.0,30,1,1,1,2,2,7,1,1,0,3,2,20,4,4,2020,1.0,0,1,1,1,2,4
176,60617,47.0,0.0,0.0,0.0,1,2009.0,1,2,1,7.0,25,2,1,1,1,7,1,1,1,0,4,2,17,5,4,2020,0.0,0,1,1,1,1,3
347,60193,50.0,0.0,0.0,0.0,1,2020.0,1,1,1,1.0,35,1,1,1,1,3,0,1,1,0,3,3,13,6,4,2020,0.0,1,1,0,1,2,3
348,60193,50.0,0.0,0.0,0.0,1,2015.0,1,1,1,2.0,35,1,1,1,1,3,0,1,1,0,3,3,13,6,4,2020,0.0,1,1,0,1,2,3
349,60193,50.0,0.0,0.0,0.0,1,1999.0,1,1,1,2.0,35,1,1,1,1,3,0,1,1,0,3,3,13,6,4,2020,0.0,1,1,0,1,2,3
350,60153,50.0,0.0,0.0,0.0,1,2020.0,1,1,1,1.0,35,1,1,1,1,3,0,1,1,0,3,3,13,6,4,2020,0.0,1,1,0,1,2,3
351,60153,50.0,0.0,0.0,0.0,1,2015.0,1,1,1,2.0,35,1,1,1,1,3,0,1,1,0,3,3,13,6,4,2020,0.0,1,1,0,1,2,3
352,60153,50.0,0.0,0.0,0.0,1,1999.0,1,1,1,2.0,35,1,1,1,1,3,0,1,1,0,3,3,13,6,4,2020,0.0,1,1,0,1,2,3
424,60622,36.9,-1.0,-1.0,-1.0,1,2011.0,-1,4,-1,1.0,30,2,1,1,3,5,7,1,-1,-1,2,2,2,7,4,2020,2.0,0,1,1,1,1,4
426,60622,38.0,-1.0,12.0,0.0,1,2011.0,-1,4,-1,1.0,30,2,1,1,3,5,7,1,-1,-1,2,2,2,7,4,2020,2.0,1,1,1,1,1,0
442,60622,36.9,0.0,-1.0,0.0,1,2019.0,1,4,2,10.0,30,1,1,1,1,2,1,1,1,0,2,2,15,6,4,2020,2.0,0,1,1,1,3,4
443,60609,29.0,0.0,0.0,0.0,1,2011.0,-1,6,1,-1.0,30,1,1,1,1,2,1,1,1,0,2,2,15,6,4,2020,2.0,0,1,1,1,3,4
444,60609,29.0,0.0,0.0,0.0,1,2019.0,1,4,2,10.0,30,1,1,1,1,2,1,1,1,0,2,2,15,6,4,2020,2.0,0,1,1,1,3,4
479,60649,22.0,0.0,2.0,0.0,1,2011.0,1,1,1,-1.0,30,1,1,1,1,5,1,1,1,0,1,2,7,4,4,2020,2.0,1,1,1,0,2,4
481,60617,53.0,-1.0,12.0,0.0,1,2011.0,1,1,1,-1.0,30,1,1,1,1,5,1,1,1,0,1,2,7,4,4,2020,2.0,1,1,1,0,2,0
752,60630,25.0,0.0,0.0,0.0,1,2019.0,1,3,1,5.0,30,1,1,1,1,1,2,1,1,0,2,2,8,1,4,2020,0.0,0,1,1,1,3,4
860,60620,19.0,0.0,0.0,0.0,1,2005.0,1,2,1,8.0,30,2,1,1,1,1,0,1,1,0,1,2,22,1,4,2020,0.0,1,1,1,1,3,4
1083,60482,29.0,0.0,0.0,0.0,1,2006.0,1,1,1,6.0,30,2,1,1,3,1,1,1,2,0,2,3,3,3,4,2020,1.0,1,1,1,1,3,4
1084,60482,29.0,0.0,0.0,0.0,2,2012.0,1,4,5,2.0,30,2,1,1,3,1,1,1,2,0,2,3,3,3,4,2020,1.0,1,1,1,1,3,4
1085,60482,29.0,0.0,0.0,0.0,1,2001.0,1,4,1,4.0,30,2,1,1,3,1,1,1,2,0,2,3,3,3,4,2020,1.0,1,1,1,1,3,4
1089,60618,36.0,0.0,2.0,0.0,1,2006.0,1,1,1,6.0,30,2,1,1,3,1,1,1,2,0,2,3,3,3,4,2020,1.0,1,1,1,1,3,4
