,index,CITY,STATE,ZIPCODE,AGE,EJECTION,DRIVER_ACTION,BAC_RESULT,UNIT_TYPE,MAKE,MODEL,VEHICLE_YEAR,VEHICLE_TYPE,TRAVEL_DIRECTION,MANEUVER,FIRST_CONTACT_POINT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,STREET_DIRECTION,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR,FATAL_INBOTH,FATAL_CARPPL,FATAL_OTHPPL,FATAL_INAUTO,FATAL_DEGREE,DAMAGE_500_OR_LESS,DAMAGE_501_1500,DAMAGE_OVER_1500,SEX,INTERSECTION_RELATED,HIT_AND_RUN,REPORTYPE
0,53,CHICAGO,IL,60647,23.0,0.0,0.0,0.0,1,14,101,2010.0,-1,3,-1,1.0,30,1,1,1,2,2,7,1,1,0,3,2,20,4,4,2020,1.0,0.0,0.0,0.0,1.0,0,1,0,0,1,1,1
1,54,CHICAGO,IL,60647,23.0,0.0,0.0,0.0,1,17,65,2004.0,1,2,2,3.0,30,1,1,1,2,2,7,1,1,0,3,2,20,4,4,2020,1.0,0.0,0.0,0.0,1.0,0,1,0,0,1,1,1
2,55,CHICAGO,IL,60647,36.0,-1.0,3.0,0.0,1,14,101,2010.0,-1,3,-1,1.0,30,1,1,1,2,2,7,1,1,0,3,2,20,4,4,2020,1.0,0.0,0.0,0.0,1.0,0,1,0,0,1,1,1
3,56,CHICAGO,IL,60647,36.0,-1.0,3.0,0.0,1,17,65,2004.0,1,2,2,3.0,30,1,1,1,2,2,7,1,1,0,3,2,20,4,4,2020,1.0,0.0,0.0,0.0,1.0,0,1,0,0,1,1,1
4,176,CHICAGO,IL,60617,47.0,0.0,0.0,0.0,1,9,37,2009.0,1,2,1,7.0,25,2,1,1,1,7,1,1,1,0,4,2,17,5,4,2020,0.0,1.0,0.0,0.0,0.0,1,0,0,0,1,1,1
5,347,SCHAUMBURG,IL,60193,50.0,0.0,0.0,0.0,1,4,100,2020.0,1,1,1,1.0,35,1,1,1,1,3,0,1,1,0,3,3,13,6,4,2020,0.0,1.0,0.0,0.0,0.0,0,1,0,1,1,0,1
6,348,SCHAUMBURG,IL,60193,50.0,0.0,0.0,0.0,1,17,65,2015.0,1,1,1,2.0,35,1,1,1,1,3,0,1,1,0,3,3,13,6,4,2020,0.0,1.0,0.0,0.0,0.0,0,1,0,1,1,0,1
7,349,SCHAUMBURG,IL,60193,50.0,0.0,0.0,0.0,1,11,102,1999.0,1,1,1,2.0,35,1,1,1,1,3,0,1,1,0,3,3,13,6,4,2020,0.0,1.0,0.0,0.0,0.0,0,1,0,1,1,0,1
8,350,MAYWOOD,IL,60153,50.0,0.0,0.0,0.0,1,4,100,2020.0,1,1,1,1.0,35,1,1,1,1,3,0,1,1,0,3,3,13,6,4,2020,0.0,1.0,0.0,0.0,0.0,0,1,0,1,1,0,1
9,351,MAYWOOD,IL,60153,50.0,0.0,0.0,0.0,1,17,65,2015.0,1,1,1,2.0,35,1,1,1,1,3,0,1,1,0,3,3,13,6,4,2020,0.0,1.0,0.0,0.0,0.0,0,1,0,1,1,0,1
10,352,MAYWOOD,IL,60153,50.0,0.0,0.0,0.0,1,11,102,1999.0,1,1,1,2.0,35,1,1,1,1,3,0,1,1,0,3,3,13,6,4,2020,0.0,1.0,0.0,0.0,0.0,0,1,0,1,1,0,1
11,424,CHICAGO,IL,60622,36.9,-1.0,-1.0,-1.0,1,11,1,2011.0,-1,4,-1,1.0,30,2,1,1,3,5,7,1,-1,-1,2,2,2,7,4,2020,1.0,0.0,0.0,0.0,2.0,1,0,0,0,1,1,1
12,426,CHICAGO,IL,60622,38.0,-1.0,12.0,0.0,1,11,1,2011.0,-1,4,-1,1.0,30,2,1,1,3,5,7,1,-1,-1,2,2,2,7,4,2020,0.0,0.0,0.0,0.0,2.0,1,0,0,1,1,1,1
13,442,CHICAGO,IL,60622,36.9,0.0,-1.0,0.0,1,5,13,2019.0,1,4,2,10.0,30,1,1,1,1,2,1,1,1,0,2,2,15,6,4,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
14,443,CHICAGO,IL,60609,29.0,0.0,0.0,0.0,1,-1,2,2011.0,-1,6,1,-1.0,30,1,1,1,1,2,1,1,1,0,2,2,15,6,4,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
15,444,CHICAGO,IL,60609,29.0,0.0,0.0,0.0,1,5,13,2019.0,1,4,2,10.0,30,1,1,1,1,2,1,1,1,0,2,2,15,6,4,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
16,479,CHICAGO,IL,60649,22.0,0.0,2.0,0.0,1,17,65,2011.0,1,1,1,-1.0,30,1,1,1,1,5,1,1,1,0,1,2,7,4,4,2020,1.0,0.0,0.0,0.0,2.0,0,1,0,1,1,1,0
